ts,high,low,open,close,change,transaction,next_open
1427068800,14.35,14.25,14.35,14.25,-0.1,77,14.3
1427155200,14.5,14.2,14.3,14.3,0.05,211,14.25
1427241600,14.3,13.5,14.25,13.85,-0.45,253,13.7
1427328000,13.95,13.7,13.7,13.9,0.05,633,14.05
1427414400,14.15,13.8,14.05,13.9,0,494,13.9
1427673600,14,13.65,13.9,13.7,-0.2,504,13.7
1427760000,13.8,13.65,13.7,13.7,0,350,13.7
1427846400,14,13.7,13.7,14,0.3,262,14
1427932800,14.15,13.9,14,13.9,-0.1,250,13.95
1428364800,14.35,13.95,13.95,14.05,0.15,444,14.1
1428451200,14.1,13.95,14.1,14,-0.05,274,14.05
1428537600,14.3,14.05,14.05,14.2,0.2,335,14.3
1428624000,14.3,14.1,14.3,14.15,-0.05,265,14.55
1428883200,14.55,14.15,14.55,14.15,0,374,14.15
1428969600,14.15,13.9,14.15,14,-0.15,368,14
1429056000,14.1,13.9,14,14,0,114,14.1
1429142400,14.15,14,14.1,14.05,0.05,104,14.1
1429228800,14.15,13.95,14.1,13.95,-0.1,107,13.9
1429488000,14.1,13.9,13.9,13.9,-0.05,100,14
1429574400,14,13.8,14,13.8,-0.1,103,13.8
1429660800,13.85,13.75,13.8,13.75,-0.05,87,13.85
1429747200,14.05,13.85,13.85,13.95,0.2,70,13.9
1429833600,14,13.8,13.9,13.85,-0.1,87,13.85
1430092800,13.9,13.75,13.85,13.9,0.05,80,13.9
1430179200,13.95,13.8,13.9,13.8,-0.1,64,13.85
1430265600,13.9,13.8,13.85,13.85,0.05,69,13.95
1430352000,14,13.85,13.95,14,0.15,79,14.05
1430697600,14.05,13.75,14.05,13.75,-0.25,78,13.9
1430784000,13.9,13.8,13.9,13.8,0.05,49,13.8
1430870400,13.9,13.75,13.8,13.85,0.05,68,13.9
1430956800,14.1,13.8,13.9,13.95,0.1,112,13.85
1431043200,13.9,13.8,13.85,13.85,-0.1,76,14.1
1431302400,14.1,13.6,14.1,13.7,-0.15,120,13.7
1431388800,13.7,13.55,13.7,13.6,-0.1,118,13.65
1431475200,13.75,13.55,13.65,13.55,-0.05,62,13.6
1431561600,13.65,13.5,13.6,13.55,0,52,13.55
1431648000,13.55,12.65,13.55,12.65,-0.9,480,12.65
1431907200,12.9,11.8,12.65,11.8,-0.85,412,11.9
1431993600,11.95,11.6,11.9,11.9,0.1,307,12
1432080000,12.15,11.9,12,12,0.1,124,11.9
1432166400,12.05,11.9,11.9,12.05,0.05,67,11.9
1432252800,12.15,11.9,11.9,12,-0.05,64,12.1
1432512000,12.1,11.8,12.1,11.95,-0.05,57,11.9
1432598400,11.95,11.8,11.9,11.8,-0.15,31,11.8
1432684800,12.05,11.8,11.8,11.85,0.05,85,11.9
1432771200,12.05,11.8,11.9,11.85,0,97,11.85
1432857600,11.95,11.75,11.85,11.75,-0.1,47,11.6
1433116800,11.65,11.25,11.6,11.35,-0.4,131,11.25
1433203200,11.4,11.15,11.25,11.15,-0.2,83,11.15
1433289600,11.2,10.75,11.15,10.75,-0.4,177,10.65
1433376000,10.75,10.05,10.65,10.2,-0.55,208,10.2
1433462400,10.4,10.2,10.2,10.35,0.15,122,10.35
1433721600,10.35,10,10.35,10,-0.35,128,9.57
1433808000,9.96,9,9.57,9,-1,288,9
1433894400,9.46,9,9,9.33,0.33,197,9
1433980800,9.25,8.99,9,9.1,-0.23,173,9.1
1434067200,9.3,9.1,9.1,9.25,0.15,74,9.25
1434326400,9.32,9,9.25,9.06,-0.19,82,9.07
1434412800,9.13,9.06,9.07,9.12,0.06,49,9.26
1434499200,9.98,9.26,9.26,9.8,0.68,231,10
1434585600,10.3,9.9,10,10.2,0.4,135,10.2
1434931200,10.5,10.1,10.2,10.15,-0.05,102,10.1
1435017600,10.3,10.1,10.1,10.1,-0.05,70,10.05
1435104000,10.05,9.9,10.05,9.91,-0.19,58,9.91
1435190400,9.95,9.82,9.91,9.95,0.04,37,9.96
1435276800,9.99,9.9,9.96,9.96,0.01,39,9.9
1435536000,9.9,9.35,9.9,9.37,-0.59,71,9.11
1435622400,9.52,9.1,9.11,9.52,0.15,84,9.56
1435708800,9.92,9.56,9.56,9.86,0.34,71,9.9
1435795200,10.05,9.9,9.9,9.96,0.1,59,10
1435881600,10,9.76,10,9.77,-0.19,46,9.76
1436140800,9.76,9.5,9.76,9.65,-0.12,34,9.12
1436227200,9.84,9.12,9.12,9.74,0.09,35,9.8
1436313600,9.92,9.2,9.8,9.29,-0.45,102,9.02
1436400000,9.43,8.37,9.02,9.2,-0.09,159,9.69
1436745600,9.69,9.31,9.69,9.34,0.14,53,9.36
1436832000,9.37,9.3,9.36,9.3,-0.04,34,9.3
1436918400,9.3,9.15,9.3,9.21,-0.09,32,9.25
1437004800,9.28,9.17,9.25,9.25,0.04,19,9.3
1437091200,9.3,9.1,9.3,9.1,-0.15,40,9.2
1437350400,9.2,9.07,9.2,9.07,-0.03,30,9
